|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|positive|,2019-02-10 ,b' Short sale vol (not short interest) for $NOK on 2019-02-08 is 61%. https://t.co/oPXJL8Nar9 $MSFT 38% $AAPL 60% $CSCO 57% $AMZN 38%',1.0

|positive|,2019-02-10 ,b' Microsoft supports Washington state facial-recognition bill https://t.co/OjwTOGUTJ5 #security #facialrecognition $MSFT $AMZN',2.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|neutral|,2019-02-10 ,b' Microsoft $MSFT Shareholder Loudon Investment Management Decreased Its Holding as Market Value Declined; As Taiwan\xe2\x80\xa6 https://t.co/Dmgcj48dWU',0.0

|positive|,2019-02-10 ,"b' Eagle Asset Management Has Upped Position in Berry Global Group $BERY by $640,320; Neville Rodie &amp; Shaw Stake In Mi\xe2\x80\xa6 https://t.co/kaetuoJIj9'",2.0

|positive|,2019-02-10 ,b' RT @LionessWall: \xf0\x9f\x91\xa0\xf0\x9f\x92\x84\xf0\x9f\x92\x8bSexy plays for this week!!   \xf0\x9f\x92\xb5 $hiph \xf0\x9f\x92\xb5 $dkgr \xf0\x9f\x92\xb5 $etii \xf0\x9f\x92\xb5 $csoc \xf0\x9f\x92\xb5 $msft   #OTC #STOCKSTOWATCH #ALERT https://t.co/5kll7lvw\xe2\x80\xa6',2.0

|negative|,2019-02-10 ,"b"" Did Apple's AR Ambitions Just Suffer a Big Setback? @themotleyfool #stocks $AAPL, $GOOGL, $MSFT, $FB, $GOOG https://t.co/3ZCJZwsLfr""",-1.0

|positive|,2019-02-10 ,b' RT @LionessWall: \xf0\x9f\x91\xa0\xf0\x9f\x92\x84\xf0\x9f\x92\x8bSexy plays for this week!!   \xf0\x9f\x92\xb5 $hiph \xf0\x9f\x92\xb5 $dkgr \xf0\x9f\x92\xb5 $etii \xf0\x9f\x92\xb5 $csoc \xf0\x9f\x92\xb5 $msft   #OTC #STOCKSTOWATCH #ALERT https://t.co/5kll7lvw\xe2\x80\xa6',2.0

|positive|,2019-02-10 ,b' Utah Retirement Systems Stake in Concho Res $CXO Raised by $1.35 Million; Microsoft $MSFT Position Held by Prospect\xe2\x80\xa6 https://t.co/Vg9DfKbPqC',1.0

|neutral|,2019-02-10 ,"b' Welch Group Has Trimmed Position in Microsoft $MSFT by $543,096; Dollar Tree $Put $DLTR Holding Held by Gruss Capit\xe2\x80\xa6 https://t.co/4pZxrSJlnb'",0.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|positive|,2019-02-10 ,b' RT @LionessWall: \xf0\x9f\x91\xa0\xf0\x9f\x92\x84\xf0\x9f\x92\x8bSexy plays for this week!!   \xf0\x9f\x92\xb5 $hiph \xf0\x9f\x92\xb5 $dkgr \xf0\x9f\x92\xb5 $etii \xf0\x9f\x92\xb5 $csoc \xf0\x9f\x92\xb5 $msft   #OTC #STOCKSTOWATCH #ALERT https://t.co/5kll7lvw\xe2\x80\xa6',2.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|neutral|,2019-02-10 ,b' @stockstobuy $FUSZD https://t.co/liMFxiPqkw #stock #stocks #Investors #Investor #Traders #Investment #Investments\xe2\x80\xa6 https://t.co/ddMHt0DQ4X',0.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY #millionairemindset\xe2\x80\xa6'",2.0

|neutral|,2019-02-10 ,b' RT @UHDTrader: $FUSZD - @VerbTech_Co #Uplisting to #NASDAQ withBulls in Full Control!  Riding the MA5 Up and looking to cross Over the MA50\xe2\x80\xa6',0.0

|positive|,2019-02-10 ,b' $MSFT  strong support gain here https://t.co/pdXOPg7YQ5',6.0

|positive|,2019-02-10 ,"b' \xf0\x9f\xa6\x84 $FUSZD MAKE SURE YOU ARE IN THE ""KNOW"" \xf0\x9f\x91\x89CLICK THE PIC BELOW FOR THE ROAD TO NASDAQ  #OPPORTUNITY\xe2\x80\xa6 https://t.co/2dJmbd2khO'",2.0

|positive|,2019-02-10 ,b' RT @luishon2: #GlennTompkins  I need a\xf0\x9f\x92\xb2winner!?\xf0\x9f\x91\x80  $SPY $DIA $GLD $IWM $USO $UCO $XLE $XLF $XLK $XLI $XLB $XLP $XLY $XLU $XLV $JPM $BAC $GS\xe2\x80\xa6',4.0

|positive|,2019-02-10 ,"b' How To Save $1.5 Million Starting At 40 https://t.co/3y4HVamTyc $BA, $CVS, $D, $DWX, $ITW, $JNJ, $LMT, $LYB, $MAIN,\xe2\x80\xa6 https://t.co/4hKA9i4M7R'",2.0

|neutral|,2019-02-10 ,"b' Weekly Stock Market Review: Week #7 https://t.co/xITwbuAlVt  #stockstowatch $MSFT $MU $NFLX $AAPL $NVDA, #stocks\xe2\x80\xa6 https://t.co/4pdgHxnXSl'",0.0

|positive|,2019-02-10 ,b' \xf0\x9f\x91\xa0\xf0\x9f\x92\x84\xf0\x9f\x92\x8bSexy plays for this week!!   \xf0\x9f\x92\xb5 $hiph \xf0\x9f\x92\xb5 $dkgr \xf0\x9f\x92\xb5 $etii \xf0\x9f\x92\xb5 $csoc \xf0\x9f\x92\xb5 $msft   #OTC #STOCKSTOWATCH #ALERT https://t.co/5kll7lvwwA',2.0

|positive|,2019-02-10 ,"b"" RT @YourNewsEdge: #Join Robinhood and we'll both get a stock like Apple, Ford, or Sprint for #Free.  $FB  $GWPH $MRK $MRMD $UNVC $ACB $AAPL\xe2\x80\xa6""",4.0

|positive|,2019-02-10 ,"b' $MSFT Series of lower highs as it now fights the 100D. 102 Clear support, breaks 106 with volume could be a nice lo\xe2\x80\xa6 https://t.co/xHlzmrprxq'",6.0

|neutral|,2019-02-10 ,"b' Weekly Stock Market Review: Week #7 https://t.co/4m8ovplDOo  #stockstowatch $MSFT $MU $NFLX $AAPL $NVDA, #stocks\xe2\x80\xa6 https://t.co/G0IZr8PKNX'",0.0

|positive|,2019-02-10 ,"b' RT @realsheepwolf: \xf0\x9f\xa6\x84 $FUSZD THIS IS AMAZING, LIKE WATCHING $AMZN $MSFT $AAPL OR ANY OF THE OTHER GREAT TECH COMPANIES IN THEIR INFANCY....\xe2\x80\xa6'",9.0

|positive|,2019-02-10 ,"b' RT @theflynews: In an exclusive interview with The Fly, Stephens #analyst Jeff Cohen said ""Apex Legends"" is ""definitely"" #positive for EA.\xe2\x80\xa6'",4.0

|neutral|,2019-02-10 ,"b' RT @i_Know_First: Weekly Stock Market Review: Week #7 https://t.co/XSXIxfgdOw  #stockstowatch $MSFT $MU $NFLX $AAPL $NVDA, #stocks $SPY $DI\xe2\x80\xa6'",0.0

|neutral|,2019-02-10 ,"b' RT @i_Know_First: Weekly Stock Market Review: Week #7 https://t.co/XSXIxfgdOw  #stockstowatch $MSFT $MU $NFLX $AAPL $NVDA, #stocks $SPY $DI\xe2\x80\xa6'",0.0

|neutral|,2019-02-10 ,"b' Weekly Stock Market Review: Week #7 https://t.co/fWL5f7qjau  #stockstowatch $MSFT $MU $NFLX $AAPL $NVDA, #stocks\xe2\x80\xa6 https://t.co/cFsc7Ov5A4'",0.0

|neutral|,2019-02-10 ,"b' Weekly Stock Market Review: Week #7 https://t.co/XSXIxfgdOw  #stockstowatch $MSFT $MU $NFLX $AAPL $NVDA, #stocks\xe2\x80\xa6 https://t.co/3GKxwn544l'",0.0

